Local Timestamp Pacific Time (Interval Ending),SP-15 LMP,Local Date,Hour Number
2023-01-03 20:15:00,224.17831,2023-01-03,21
2023-01-03 20:30:00,213.1524,2023-01-03,21
2023-01-03 20:45:00,216.40909,2023-01-03,21
2023-01-03 21:00:00,204.30872,2023-01-03,21
2023-01-03 21:15:00,226.1535,2023-01-03,22
2023-01-03 21:30:00,246.54044,2023-01-03,22
2023-01-03 21:45:00,219.38469,2023-01-03,22
2023-01-03 22:00:00,207.07256,2023-01-03,22
2023-01-03 22:15:00,206.22418,2023-01-03,23
2023-01-03 22:30:00,196.81235,2023-01-03,23
2023-01-03 22:45:00,199.21974,2023-01-03,23
2023-01-03 23:00:00,177.73721,2023-01-03,23
2023-01-03 23:15:00,215.67366,2023-01-03,24
2023-01-03 23:30:00,192.85059,2023-01-03,24
2023-01-03 23:45:00,200.48549,2023-01-03,24
2023-01-04 00:15:00,225.50697,2023-01-04,1
2023-01-04 00:30:00,225.50697,2023-01-04,1
2023-01-04 00:45:00,216.03574,2023-01-04,1
2023-01-04 01:00:00,216.03574,2023-01-04,1
2023-01-04 01:15:00,216.03574,2023-01-04,2
2023-01-04 01:30:00,216.03574,2023-01-04,2
2023-01-04 01:45:00,193.98238,2023-01-04,2
2023-01-04 02:00:00,193.98238,2023-01-04,2
2023-01-04 02:15:00,193.98238,2023-01-04,3
2023-01-04 02:30:00,185.44398,2023-01-04,3
2023-01-04 02:45:00,185.33437,2023-01-04,3
2023-01-04 03:00:00,180.05565,2023-01-04,3
2023-01-04 03:15:00,185.39555,2023-01-04,4
2023-01-04 03:30:00,186.41698,2023-01-04,4
2023-01-04 03:45:00,184.15253,2023-01-04,4
2023-01-04 04:00:00,175.29968,2023-01-04,4
2023-01-04 04:15:00,172.24078,2023-01-04,5
2023-01-04 04:30:00,181.9083,2023-01-04,5
2023-01-04 04:45:00,191.05794,2023-01-04,5
2023-01-04 05:00:00,187.74,2023-01-04,5
2023-01-04 05:15:00,166.38548,2023-01-04,6
2023-01-04 05:30:00,183.33478,2023-01-04,6
2023-01-04 05:45:00,215.0012,2023-01-04,6
2023-01-04 06:00:00,224.9988,2023-01-04,6
2023-01-04 06:15:00,215.07382,2023-01-04,7
2023-01-04 06:30:00,231.29028,2023-01-04,7
2023-01-04 06:45:00,260.3704,2023-01-04,7
2023-01-04 07:00:00,246.7649,2023-01-04,7
2023-01-04 07:15:00,230.00012,2023-01-04,8
2023-01-04 07:30:00,226.38103,2023-01-04,8
2023-01-04 07:45:00,225.0,2023-01-04,8
2023-01-04 08:00:00,201.729,2023-01-04,8
2023-01-04 08:15:00,211.44017,2023-01-04,9
